Debug<Sun Nov 22 2015><12:24:08>:("C:/Qt/Qt5.5.0/5.5/mingw492_32/plugins", "D:/Master/Projects/Qt/GFrameSheetViewer")(:0, )
Debug<Sun Nov 22 2015><12:24:19>:("C:/Qt/Qt5.5.0/5.5/mingw492_32/plugins", "D:/Master/Projects/Qt/GFrameSheetViewer")(:0, )
Warning<Sun Nov 22 2015><12:29:55>:QMetaObject::invokeMethod: No such method Main_QMLTYPE_0::loadImage(QVariant,QVariant)
Candidates are:
    loadImage(QVariant)(:0, )
Warning<Sun Nov 22 2015><19:26:21>:libpng warning: iCCP: known incorrect sRGB profile(:0, )
Warning<Tue Nov 24 2015><21:12:24>:QObject: shared QObject was deleted directly. The program is malformed and may crash.(:0, )
Warning<Wed Nov 25 2015><08:50:37>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><08:50:40>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><08:50:47>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:17:35>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:17:39>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:17:39>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:18:22>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:18:57>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:19:58>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:22:47>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:23:02>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:26:18>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:26:37>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Debug<Wed Nov 25 2015><09:28:12>:QML Debugger: Waiting for connection on port 58213...(qtcpserverconnection.cpp:174, bool QTcpServerConnection::listen())
Debug<Wed Nov 25 2015><09:31:59>:QML Debugger: Waiting for connection on port 58664...(qtcpserverconnection.cpp:174, bool QTcpServerConnection::listen())
Warning<Wed Nov 25 2015><09:33:36>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:34:46>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:36:38>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:38:39>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:40:33>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:40:47>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:45:50>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><09:46:00>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:01:59>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:04:10>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:04:42>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:05:26>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:06:30>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:08:46>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:10:16>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:10:34>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:11:56>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:12:16>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:19:33>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:20:41>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:27:13>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:28:50>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:33:17>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:35:03>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:35:28>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:36:49>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:37:26>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:38:38>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:47:51>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:49:16>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:50:21>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><10:51:28>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:14:08>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:14:30>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:16:32>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:17:25>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:18:24>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:19:05>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:19:26>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:19:58>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:21:07>:QFSFileEngine::open: No file name specified(io\qfsfileengine.cpp:199, virtual bool QFSFileEngine::open(QIODevice::OpenMode))
Warning<Wed Nov 25 2015><11:22:34>:QFSFileEngine::open: No file name specified(:0, )
Warning<Wed Nov 25 2015><11:24:02>:QFSFileEngine::open: No file name specified(:0, )
Warning<Wed Nov 25 2015><11:25:03>:QFSFileEngine::open: No file name specified(:0, )
